date,price_mean,price_median,n_obs
1995-04-01,449268.03141361254,347000.0,382
1995-05-01,457482.15311004786,349900.0,418
1995-06-01,468855.60869565216,375500.0,483
1995-07-01,478946.1317647059,389000.0,425
1995-08-01,475536.12115384615,375000.0,520
1995-09-01,454144.1340425532,374945.0,470
1995-10-01,481532.93023255817,392500.0,430
1995-11-01,433015.46860986546,349900.0,446
1995-12-01,463261.320754717,379450.0,424
1996-01-01,478344.388101983,375000.0,353
1996-02-01,483952.5230769231,399000.0,390
1996-03-01,514622.26960784313,432700.0,408
1996-04-01,469999.70140280563,389000.0,499
1996-05-01,455943.7440585009,349000.0,547
1996-06-01,470304.1516966068,359900.0,501
1996-07-01,484871.0352112676,398485.0,568
1996-08-01,493657.86738351255,399000.0,558
1996-09-01,461953.1646090535,374995.0,486
1996-10-01,452227.96428571426,379000.0,532
1996-11-01,479217.8812095032,369900.0,463
1996-12-01,493519.47647058824,415000.0,510
1997-01-01,501208.71461716935,420000.0,431
1997-02-01,497972.0977443609,399000.0,399
1997-03-01,506084.3574297189,404950.0,498
1997-04-01,471773.99806949805,367000.0,518
1997-05-01,496325.78827977314,409000.0,529
1997-06-01,496202.01712328766,412500.0,584
1997-07-01,482867.16228070174,399999.0,684
1997-08-01,501227.4112903226,400000.0,620
1997-09-01,499649.2524115756,399450.0,622
1997-10-01,477855.94867807155,389999.0,643
1997-11-01,498903.341509434,397312.5,530
1997-12-01,485730.3740095087,370000.0,631
1998-01-01,479934.30322580645,399999.0,465
1998-02-01,449278.99377593363,349900.0,482
1998-03-01,481020.47130434786,395000.0,575
1998-04-01,485940.87351190473,398500.0,672
1998-05-01,482233.40597014927,398950.0,670
1998-06-01,503811.1144736842,409500.0,760
1998-07-01,478026.7875,395000.0,720
1998-08-01,465039.36548913043,359999.5,736
1998-09-01,473756.2562962963,395000.0,675
1998-10-01,490939.21104815864,399900.0,706
1998-11-01,490160.69624573376,399949.5,586
1998-12-01,508713.22597402596,420000.0,770
1999-01-01,516268.14081632654,417000.0,490
1999-02-01,461594.01484230056,365000.0,539
1999-03-01,488371.39743589744,398500.0,702
1999-04-01,481225.34818941506,377000.0,718
1999-05-01,485728.6352785146,399000.0,754
1999-06-01,488633.2025611176,397000.0,859
1999-07-01,478939.0389768575,379000.0,821
1999-08-01,504220.3320987654,409950.0,810
1999-09-01,478408.62208588957,375000.0,815
1999-10-01,486357.0186915888,399000.0,749
1999-11-01,474336.0794797688,375000.0,692
1999-12-01,487359.4322396576,390000.0,701
2000-01-01,500786.0,414000.0,564
2000-02-01,501236.1505376344,399900.0,558
2000-03-01,495636.1327683616,399450.0,708
2000-04-01,478616.3930942895,390000.0,753
2000-05-01,450224.4203894616,365000.0,873
2000-06-01,489544.24170124484,399450.0,964
2000-07-01,479699.18652849743,399900.0,772
2000-08-01,479358.9456521739,380000.0,920
2000-09-01,471749.66329113924,388750.0,790
2000-10-01,460553.33037974685,370000.0,790
2000-11-01,507935.62518089724,425000.0,691
2000-12-01,468358.6549295775,357700.0,710
2001-01-01,467529.374617737,359900.0,654
2001-02-01,477847.3145869947,383750.0,569
2001-03-01,489134.53280839894,396250.0,762
2001-04-01,460450.300405954,369900.0,739
2001-05-01,453015.1370023419,350000.0,854
2001-06-01,477801.19803063455,397750.0,914
2001-07-01,481331.1596091205,389900.0,921
2001-08-01,457071.3093306288,365000.0,986
2001-09-01,464389.2470892626,375000.0,773
2001-10-01,469319.45720476704,375000.0,923
2001-11-01,459476.35425383545,360000.0,717
2001-12-01,478070.54370179947,396000.0,778
2002-01-01,474760.73035230354,394999.5,738
2002-02-01,467043.2665764547,369900.0,739
2002-03-01,479207.44988066825,392450.0,838
2002-04-01,469736.28343313374,375000.0,1002
2002-05-01,456821.52554027503,350000.0,1018
2002-06-01,480523.68690702086,399000.0,1054
2002-07-01,483710.0962566845,399900.0,1122
2002-08-01,463160.5753554502,389000.0,1055
2002-09-01,451751.0010526316,362500.0,950
2002-10-01,476416.6615384615,375000.0,975
2002-11-01,439493.51020408166,350000.0,833
2002-12-01,455622.45154639176,359950.0,970
2003-01-01,452455.9285714286,359950.0,854
2003-02-01,472253.40588988474,396000.0,781
2003-03-01,469059.94683026586,377000.0,978
2003-04-01,450411.05511022045,359900.0,998
2003-05-01,449001.97122302157,359450.0,1112
2003-06-01,456830.3423271501,354250.0,1186
2003-07-01,467179.0366900859,379990.0,1281
2003-08-01,454994.07265625,364950.0,1280
2003-09-01,454083.09523809527,369900.0,1428
2003-10-01,428226.96628455835,334900.0,1483
2003-11-01,413006.6693548387,320000.0,1116
2003-12-01,421270.7768895349,339900.0,1376
2004-01-01,404453.82378854626,312990.0,1135
2004-02-01,407983.0382165605,335000.0,1099
2004-03-01,424686.97854356305,320000.0,1538
2004-04-01,418281.6522544781,329000.0,1619
2004-05-01,398796.54490291263,299000.0,1648
2004-06-01,416954.1493839836,330000.0,1948
2004-07-01,417677.6540880503,324950.0,1908
2004-08-01,408840.2261964735,325000.0,1985
2004-09-01,394131.43261608155,310000.0,1766
2004-10-01,398997.51200480195,319450.0,1666
2004-11-01,430761.08397932816,330000.0,1548
2004-12-01,393729.0535714286,315000.0,1792
2005-01-01,423464.6063756064,335000.0,1443
2005-02-01,380966.41650422354,289500.0,1539
